Category,Vendor,Technology,Employer Sum,Pluralsight,"Yarn Hooks & Love Silly, LLC",Code Owls LLC,"PokerTek, Inc","LearningStation, Inc.","Convey Systems, Inc",Breault Research Organization,Category Sum,Business Intelligence,Data Analytics,Data Query Language,Data Tools,Databases,APIs / Specs,Automation,Cloud Platforms,Continuous Integration and Testing,Data Visualization,Desktop Development,Embedded Systems / Hardware Development,Natural Language Processing,Machine Learning,Programming Languages,Programming Tools,Version Control Systems,Web Development
Version Control Systems,Open Source,git,3,1,1,1,,,,,1,,,,,,,,,,,,,,,,,1,
Version Control Systems,Open Source,mercurial,2,,,1,,1,,,1,,,,,,,,,,,,,,,,,1,
Version Control Systems,Open Source,subversion,1,,,,1,,,,1,,,,,,,,,,,,,,,,,1,
Version Control Systems,Open Source,cvs,1,,,,1,,,,1,,,,,,,,,,,,,,,,,1,
Version Control Systems,Serena Software,PVCS,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,
Version Control Systems,Microsoft,SourceSafe,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,
Web Development,Various,HTML,6,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
Web Development,Various,CSS,6,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1
Web Development,Microsoft,ASP.NET,3,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1
Web Development,Microsoft,ASP,2,,,,,1,1,,1,,,,,,,,,,,,,,,,,,1
Web Development,Open Source,PHP,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,1
Web Development,Microsoft,IIS Module Development,2,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1
Data Analytics,Open Source,Scrapy,2,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Data Analytics,Open Source,rake,1,1,,,,,,,2,,1,,,,,,,,,,,,1,,,,
Data Tools,Open Source,Lucene,2,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Open Source,Solr,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Elastic,ElasticSearch,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Microsoft,Azure Search,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Open Source,PIL,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,
Data Tools,Open Source,pytesseract,1,,,1,,,,,1,,,,1,,,,,,,,,,,,,,
Web Development,Open Source,Flask,2,1,,1,,,,,1,,,,,,,,,,,,,,,,,,1
Programming Tools,PostSharp.net,PostSharp,2,,,1,1,,,,2,,,,,,,,,,,,,,,,1,,1
